sut,workload,task_id,metric,value
BaselineLLMSystemCustomOpenAIFewShot,legal-easy-1,legal-easy-3,token_usage_sut,1152.0
BaselineLLMSystemCustomOpenAIFewShot,legal-easy-1,legal-easy-3,token_usage_sut_input,792.0
BaselineLLMSystemCustomOpenAIFewShot,legal-easy-1,legal-easy-3,token_usage_sut_output,360.0
BaselineLLMSystemCustomOpenAIFewShot,legal-easy-1,legal-easy-3,runtime,7.937619924545288
BaselineLLMSystemCustomOpenAIFewShot,legal-easy-1,legal-easy-3,mean_absolute_error,
BaselineLLMSystemCustomOpenAIFewShot,legal-easy-1,legal-easy-3,mean_squared_error,
BaselineLLMSystemCustomOpenAIFewShot,legal-easy-1,legal-easy-3,rae_score,0.0
BaselineLLMSystemCustomOpenAIFewShot,legal-easy-1,legal-easy-3,token_usage_metrics,0.0
BaselineLLMSystemCustomOpenAIFewShot,legal-easy-1,legal-easy-3,token_usage_metrics_input,0.0
BaselineLLMSystemCustomOpenAIFewShot,legal-easy-1,legal-easy-3,token_usage_metrics_output,0.0
BaselineLLMSystemCustomOpenAIFewShot,legal-easy-1,legal-easy-3,token_usage_subtask_eval,0.0
BaselineLLMSystemCustomOpenAIFewShot,legal-easy-1,legal-easy-3,token_usage_subtask_eval_input,0.0
BaselineLLMSystemCustomOpenAIFewShot,legal-easy-1,legal-easy-3,token_usage_subtask_eval_output,0.0
