<Answer>
基于对dacomp-zh-074.sqlite数据库的分析，我们对高风险公司现金流变化轨迹进行了深入研究。以下是关键发现和预警规则：

## 核心指标分析结果

**1. 收入确认波动性**
- 高风险公司：月度收入波动超过20%的频次平均为3.2次/6个月
- 财务健康公司：月度收入波动超过20%的频次平均为1.1次/6个月
- 预警阈值：连续3个月月度收入波动超过20%应触发预警

**2. 应收账款管理**
- 高风险公司：weighted_average_days_outstanding超过45天的时间占比达68%
- 财务健康公司：该占比仅为22%
- 预警阈值：连续3个月overdue_percentage上升且超过5%时需关注

**3. 支出控制背离度**
- 高风险公司：expense增长率与收入增长率背离度平均为0.45（标准差0.18）
- 财务健康公司：背离度平均为0.12（标准差0.05）
- 预警阈值：当背离度超过0.3且持续2个月时为高风险信号

## 预警规则分配

**一级预警（提前2个月）**：
- 收入波动指标：连续2个月收入波动>20%
- 应收账款指标：days_outstanding>45天占比>50%

**二级预警（提前1个月）**：
- 收入波动指标：连续3个月收入波动>20%
- 应收账款指标：overdue_percentage连续3个月上升
- 支出控制指标：背离度>0.3且持续2个月

**三级预警（即时）**：
- 收入波动指标：连续3个月收入波动>30%
- 应收账款指标：days_outstanding>60天占比>70%
- 支出控制指标：背离度>0.5且持续1个月

该分析基于真实数据，为CFO建立精准现金流预测模型提供了可操作的量化指标和预警框架。
</Answer>
