benchmark,system,task_id,status,judge_status,runtime_seconds,final_answer_chars,notes
DAComp-DA,DeepAnalyze,dacomp-zh-001,completed,not_run,49.104,1624,Open-ended DAComp task; official LLM judge not run in this sample.
DAComp-DA,DeepAnalyze,dacomp-zh-002,completed,not_run,18.354,844,Open-ended DAComp task; official LLM judge not run in this sample.
DAComp-DA,DeepAnalyze,dacomp-zh-003,completed,not_run,17.361,502,Open-ended DAComp task; official LLM judge not run in this sample.
DAComp-DA,DeepAnalyze,dacomp-zh-004,completed,not_run,17.162,1101,Open-ended DAComp task; official LLM judge not run in this sample.
DAComp-DA,DeepAnalyze,dacomp-zh-005,completed,not_run,15.052,631,Open-ended DAComp task; official LLM judge not run in this sample.
DAComp-DA,DeepAnalyze,dacomp-zh-006,completed,not_run,6.366,437,Open-ended DAComp task; official LLM judge not run in this sample.
DAComp-DA,DeepAnalyze,dacomp-zh-007,completed,not_run,13.651,612,Open-ended DAComp task; official LLM judge not run in this sample.
DAComp-DA,DeepAnalyze,dacomp-zh-008,completed,not_run,11.131,821,Open-ended DAComp task; official LLM judge not run in this sample.
DAComp-DA,DeepAnalyze,dacomp-zh-009,completed,not_run,5.567,491,Open-ended DAComp task; official LLM judge not run in this sample.
DAComp-DA,DeepAnalyze,dacomp-zh-010,completed,not_run,11.36,836,Open-ended DAComp task; official LLM judge not run in this sample.
DAComp-DA,DeepAnalyze,dacomp-zh-011,completed,not_run,6.691,497,Open-ended DAComp task; official LLM judge not run in this sample.
DAComp-DA,DeepAnalyze,dacomp-zh-012,completed,not_run,11.691,789,Open-ended DAComp task; official LLM judge not run in this sample.
DAComp-DA,DeepAnalyze,dacomp-zh-013,completed,not_run,12.896,1159,Open-ended DAComp task; official LLM judge not run in this sample.
DAComp-DA,DeepAnalyze,dacomp-zh-014,completed,not_run,5.733,427,Open-ended DAComp task; official LLM judge not run in this sample.
DAComp-DA,DeepAnalyze,dacomp-zh-015,completed,not_run,8.305,599,Open-ended DAComp task; official LLM judge not run in this sample.
DAComp-DA,DeepAnalyze,dacomp-zh-016,completed,not_run,4.276,696,Open-ended DAComp task; official LLM judge not run in this sample.
DAComp-DA,DeepAnalyze,dacomp-zh-017,completed,not_run,13.195,951,Open-ended DAComp task; official LLM judge not run in this sample.
DAComp-DA,DeepAnalyze,dacomp-zh-018,completed,not_run,7.028,499,Open-ended DAComp task; official LLM judge not run in this sample.
DAComp-DA,DeepAnalyze,dacomp-zh-019,completed,not_run,10.001,654,Open-ended DAComp task; official LLM judge not run in this sample.
